registry_id,air_program,pgm_sys_acrnm,pgm_sys_ids,pollutant_name,unit_of_measure, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018,nei_type,nei_hap_voc_flag
"110000469485","GHG","GHG","1006189","Carbon dioxide","MTCO2e",,425020.3,467216.4,492212.3,464165,451369.2,463624.7,502198.6,497615.2,478763.7,"",""
"110000469485","GHG","GHG","1006189","Methane","MTCO2e",,3409,1713,1965.5,2008.25,1996.5,2105.25,2189.5,2697.75,3239.25,"",""
"110000469485","GHG","GHG","1006189","Nitrous oxide","MTCO2e",,1399.706,1448.28,1511.456,1425.93,1504.9,1466.458,1479.272,1491.49,1447.386,"",""
"110000469485","NEI","NEI","8178511","1,1,2,2-Tetrachloroethane","Pounds",,,,,,1.331108,,,1.710992136,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","1,3-Butadiene","Pounds",,,500,,,300,,,329.4688449,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","2,2,4-Trimethylpentane","Pounds",,,,,,,,,5937.18082,,"HAP","HAP-VOC"
"110000469485","NEI","NEI","8178511","Acetaldehyde","Pounds",,,,,,146.7858,,,48.7374208,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Acrolein","Pounds",,,,,,138.368,,,195.0970432,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Ammonia","Pounds",,,15079.368,,,17866.4,,,15424.9596,,"CAP",""
"110000469485","NEI","NEI","8178511","Arsenic","Pounds",,,,,,.14405,,,1.1039816,,"HAP",""
"110000469485","NEI","NEI","8178511","Benzene","Pounds",,,4000,,,5159.8,,,4644.481813,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Benzo[ghi]perylene","Pounds",,,1.3,,,,,,,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Beryllium","Pounds",,,,,,,,,.062040016,,"HAP",""
"110000469485","NEI","NEI","8178511","Biphenyl","Pounds",,,,,,,,,1059.024745,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Cadmium","Pounds",,,,,,.791935,,,5.2344867,,"HAP",""
"110000469485","NEI","NEI","8178511","Carbon disulfide","Pounds",,,500,,,255,,,505.386,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Carbon monoxide","Pounds",,,2854927.254,,,1674738.4,,,491872.819,,"CAP",""
"110000469485","NEI","NEI","8178511","Carbonyl sulfide","Pounds",,,1550,,,739,,,1996.3,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Chloroethane","Pounds",,,,,,,,,.000006115,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Chromium(III)","Pounds",,,,,,.967723,,,,,"HAP",""
"110000469485","NEI","NEI","8178511","Chromium(VI)","Pounds",,,,,,.040356,,,6.6835688,,"HAP",""
"110000469485","NEI","NEI","8178511","Cobalt","Pounds",,,,,,10,,,1.062762992,,"HAP",""
"110000469485","NEI","NEI","8178511","Cumene","Pounds",,,,,,,,,276.1223446,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Cyanide","Pounds",,,,,,28005,,,6312,,"HAP",""
"110000469485","NEI","NEI","8178511","Ethylbenzene","Pounds",,,1750,,,2370,,,1337.112337,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Formaldehyde","Pounds",,,0,,,1114.0596,,,931.7197021,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Hexane","Pounds",,,15900,,,18900,,,21779.30204,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Hydrochloric acid","Pounds",,,1200,,,1170.6,,,393.66,,"HAP",""
"110000469485","NEI","NEI","8178511","Hydrofluoric acid","Pounds",,,4405,,,3905,,,0,,"HAP",""
"110000469485","NEI","NEI","8178511","Hydrogen cyanide","Pounds",,,,,,,,,6324.4,,"HAP",""
"110000469485","NEI","NEI","8178511","Hydrogen sulfide","Pounds",,,,,,4300,,,2886,,"OTH",""
"110000469485","NEI","NEI","8178511","Lead","Pounds",,,2.364,,,4.7,,,2.5673661,,"CAP",""
"110000469485","NEI","NEI","8178511","Manganese","Pounds",,,,,,.2736,,,,,"HAP",""
"110000469485","NEI","NEI","8178511","Mercury","Pounds",,,4.3,,,1.4000001,,,3.49641048,,"HAP",""
"110000469485","NEI","NEI","8178511","Methanol","Pounds",,,,,,160.9908,,,910.73,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Methyl tert-butyl ether","Pounds",,,,,,,,,1771.94,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Methylene chloride","Pounds",,,,,,2.1676,,,2.786278481,,"HAP","EXEMPT-NONPHOTOCHEM"
"110000469485","NEI","NEI","8178511","Naphthalene","Pounds",,,3850,,,2740,,,1025.92766,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Nickel","Pounds",,,,,,41,,,69,,"HAP",""
"110000469485","NEI","NEI","8178511","Nitrogen oxides","Pounds",,,639147.824,,,751191.2,,,507287.7284,,"CAP",""
"110000469485","NEI","NEI","8178511","Phenol","Pounds",,,,,,,,,927.717886,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Phosphorus","Pounds",,,,,,,,,1.014112,,"HAP",""
"110000469485","NEI","NEI","8178511","Polycyclic aromatic hydrocarbons","Pounds",,,2.3,,,19.83,,,102.8484843,,"HAP","HAP-VOC"
"110000469485","NEI","NEI","8178511","Primary PM condensible portion,  less than 1 micron","Pounds",,,56919.222,,,33785.72,,,39408.9411,,"CAP",""
"110000469485","NEI","NEI","8178511","Primary PM10 (filterables and condensibles)","Pounds",,,94582.698,,,80328.6,,,79880.72814,,"CAP",""
"110000469485","NEI","NEI","8178511","Primary PM10, filterable portion only","Pounds",,,37676.14,,,46542.87,,,40472.52046,,"CAP",""
"110000469485","NEI","NEI","8178511","Primary PM2.5 (filterables and condensibles)","Pounds",,,76638.628,,,65804.2,,,75566.58214,,"CAP",""
"110000469485","NEI","NEI","8178511","Primary PM2.5, filterable portion only","Pounds",,,19724.17,,,32018.47,,,36158.37446,,"CAP",""
"110000469485","NEI","NEI","8178511","Selenium","Pounds",,,,,,,,,.195337312,,"HAP",""
"110000469485","NEI","NEI","8178511","Styrene","Pounds",,,,,,,,,767.8735562,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Sulfur dioxide","Pounds",,,48619.312,,,47778.2,,,64753.32208,,"CAP",""
"110000469485","NEI","NEI","8178511","Tetrachloroethylene","Pounds",,,10,,,10,,,5,,"HAP","EXEMPT-NONPHOTOCHEM"
"110000469485","NEI","NEI","8178511","Toluene","Pounds",,,10500,,,10600,,,8194.008962,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Vinyl chloride","Pounds",,,,,,,,,.000048883,,"HAP","VOC"
"110000469485","NEI","NEI","8178511","Volatile organic compounds","Pounds",,,884719.21,,,596217.4,,,727762.1254,,"CAP","VOC"
"110000469485","NEI","NEI","8178511","Xylene","Pounds",,,5600,,,11500,,,7798.84466,,"HAP","VOC"
"110000469485","TRI","TRI","84116CHVRN2351N","1,2,4-Trimethylbenzene","Pounds",500,2250,1350,1700,2740,2700,2710,1657.2,1167,700,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","1,3-Butadiene","Pounds",500,500,500,400,380,300,350,661,335,394,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Ammonia","Pounds",3750,1000,1250,2800,4500,5550,6450,4830,1420,1468,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Benzene","Pounds",3250,4400,4000,4100,6100,5900,6200,7957,5085,4715,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Benzo[ghi]perylene","Pounds",.2817,.7516,1.3016,1.73,1.99,.53,.795,1.19,1.42,1.09,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Carbon disulfide","Pounds",250,500,500,393,384,255,386,509,495.411,270,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Carbonyl sulfide","Pounds",750,1000,1550,1112,1209,739,1110,1680,1983,810,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Cobalt compounds","Pounds",,,,6.3,6.2,10,10,3,3.23,3.27,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Cyclohexane","Pounds",1000,2050,1650,1590,2270,1990,2100,464,469,146,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Dioxin and dioxin-like compounds -- TRI","Pounds",.0000064,.0002121,.0002107,.000212,.0000108,.0002158,.0002503,.0000141,.0000126,.0000044,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Ethylbenzene","Pounds",1000,2250,1750,2890,3220,2370,2870,3163,1490,1052,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Ethylene","Pounds",5050,3300,3950,2860,490,460,580,1639,694,1394,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Hexane","Pounds",12750,19400,15900,14500,18100,18900,19600,30379,15953,24843,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Hydrochloric acid","Pounds",750,750,1200,1300,410,1200,1400,515,533,561,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Hydrofluoric acid","Pounds",4605,5305,4405,5005,4305,3905,4505,5890,8424,12603,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Hydrogen cyanide","Pounds",,,,,,28005,35005,6345,6312,5684,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Hydrogen sulfide","Pounds",,,,2450,4000,4300,3700,2814,2886,2751,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Isoprene","Pounds",,,5,5,16,5,5,7,7,8,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Lead compounds","Pounds",5.92,3.9,3.67,5.72,6.2,4.7,5.8,7.3,7.21,6.98,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Mercury compounds","Pounds",,,4.3000001,4.4,3.9000001,1.4000001,1.5000001,1.2000001,4.8400001,5.0000001,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Methanol","Pounds",,,,,,,264,245,247,235,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Molybdenum trioxide","Pounds",,5,,17,10,5,5,8,12.18,8.59,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Naphthalene","Pounds",500,2350,3850,970,1590,2740,3460,3810,1017,857,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Nickel compounds","Pounds",,255,,40,55,41,54,70,69,70,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Polycyclic aromatic compounds -- TRI","Pounds",5.2,11.1,21.3,20.1,22.7,19.3,17.6,18,13,18,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Propylene","Pounds",5950,12100,12200,11700,4950,4320,5670,12974,67284,236781,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Tetrachloroethylene","Pounds",10,255,10,10,10,10,10,5,5,5,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Toluene","Pounds",7200,10600,10500,10800,11100,10600,12300,13751,8755,6787,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Xylene","Pounds",6200,16900,8100,10500,12100,11500,10800,13428,7972,4409,"",""
"110000469485","TRI","TRI","84116CHVRN2351N","Zinc compounds","Pounds",250,250,250,195,185,175,175,196,199,182,"",""
